club,player,comment,label
fcchelsea,Cole Palmer,Palmer ❤️❤️❤️❤️❤️,POSITIVE
fcchelsea,Cole Palmer,Sancho - Palmer ...🔥🔥🔥🔥🔥they will cook,POSITIVE
fcchelsea,Cole Palmer,Cole Palmer - a delight to watch!!💙💙💙,POSITIVE
fcchelsea,Cole Palmer,"Cole Palmer, there is nothing he can not do 😂💙",POSITIVE
fcchelsea,Cole Palmer,Another 8 goals from Palmer,POSITIVE
fcchelsea,Cole Palmer,Man like @firahs93 try say Bruno Fernandes is better than 🥶 Palmer 😂😂😂😂😂😂,POSITIVE
fcchelsea,Cole Palmer,Cold Palmer history maker 🔥🔥,POSITIVE
fcchelsea,Cole Palmer,Chelsea FC ✖️ Palmer FC✔️🙌,POSITIVE
fcchelsea,Cole Palmer,Palmer 🥶🗿,NEUTRAL
fcchelsea,Cole Palmer,Cool Palmer is the best,POSITIVE
fcchelsea,Cole Palmer,Goal of the month -PalmerPlayer of the month -PalmerCoach of the month -EnzoFan of the month - Me 😜💙,POSITIVE
fcchelsea,Cole Palmer,great palmer,POSITIVE
fcchelsea,Cole Palmer,How do I tell my kids that Jackson missed the goal 😭😭even after Palmer made the pass look easy 🥶🥶🥶,POSITIVE
fcchelsea,Cole Palmer,Cold messi or Lionel palmer 😍,POSITIVE
fcchelsea,Cole Palmer,Palmer 💙❤️🔥,POSITIVE
fcchelsea,Cole Palmer,Cole palmer is hungry,POSITIVE
fcchelsea,Jadon Sancho,Thank you man City and united for taking mount and giving us Sancho,POSITIVE
fcchelsea,Jadon Sancho,"Cole’s body language and the slight walk in the opposite direction of the goal totally threw off the defense, allowing him to quickly make a run forward, and a class pass from Sancho. Love to see my Blues succeeding and it’s great to see Sancho successful",POSITIVE
fcchelsea,Jadon Sancho,Sancho through ball Palmer finishes what a joy to watch 💙,POSITIVE
fcchelsea,Jadon Sancho,The confidence they all have in giving the ball to Sancho 🥰,POSITIVE
fcchelsea,Jadon Sancho,See how Sancho was patient and he gave the right pass. Madueke would have blasted it over from there instead,POSITIVE
fcchelsea,Jadon Sancho,Also post sancho's birthday,NEUTRAL
fcchelsea,Jadon Sancho,Last season Palmer was creation goals this season he has a helper in Sancho,POSITIVE
fcchelsea,Jadon Sancho,ENZO-SANCHO-COLD PALMER GOAL🥶🥶🥶🥶,POSITIVE
fcchelsea,Jadon Sancho,Sancho 🔥,POSITIVE
fcchelsea,Jadon Sancho,Sancho with that finished and sojunu pass 😂🤲🏼 thank you Man U 😂💙,POSITIVE
fcchelsea,Jadon Sancho,Sancho is a far better replacement for Mount 👏👏👏👏,POSITIVE
fcchelsea,Jadon Sancho,Sancho assists 🔥,POSITIVE
fcchelsea,Jadon Sancho,Jadon Sancho is the name💙,POSITIVE
fcchelsea,Jadon Sancho,Chelsea to Man City: thank you for Sancho and Palmer!,POSITIVE
fcchelsea,Jadon Sancho,"It a pity Palmer is not in conference cup because more records would have been made. UCL next season Palmer is coming and Sancho on a assist strict. ""come on now"".",POSITIVE
fcchelsea,Jadon Sancho,Where is the sancho pic you posted😂,NEUTRAL
fcchelsea,Jadon Sancho,Sweet assist from sancho 👏,POSITIVE
fcchelsea,Jadon Sancho,sancho 🥶,POSITIVE
fcchelsea,Jadon Sancho,That pass from Sancho..sublime 👏🔥,POSITIVE
fcchelsea,Jadon Sancho,Thanks MU for Sancho!!,POSITIVE
fcchelsea,Jadon Sancho,Jadon Sancho 😮‍💨↔️⚽️ Assists,POSITIVE
fcchelsea,Jadon Sancho,Sancho know when to release that assist 😂,POSITIVE
fcchelsea,Jadon Sancho,sancho makes the right decision 9/10 times,POSITIVE
fcchelsea,Jadon Sancho,Sancho’s IQ on the ball is just beautiful 😍😍,POSITIVE
fcchelsea,Jadon Sancho,"@manchesterunited Sancho was fouled in the box, wish led to penalty…na him get assist",NEUTRAL
sevillafc,Valentin Barco,@colo.barco,NEUTRAL
sevillafc,Valentin Barco,Como que barco suplente...si fue el unico que jugó,POSITIVE
sevillafc,Valentin Barco,Colo barco full titular 🔥🔥🔥,POSITIVE
sevillafc,Valentin Barco,"Que le pasa a este entrenador??? Barco, ejuke, bade titulares no puedo creer que sea tan así, pero no va a llegar lejos así",NEGATIVE
sevillafc,Valentin Barco,Ponelo a Barco,POSITIVE
sevillafc,Valentin Barco,barco jugo muy bien el partido pasado y lo saca,POSITIVE
sevillafc,Valentin Barco,Dt Barcos no es defensor medio campo ..pivote. Y después  menos pelotasos al pedo jugar un poco .más medio. Campo,NEUTRAL
sevillafc,Valentin Barco,Vamos sevilla rompela barco,POSITIVE
sevillafc,Valentin Barco,Barco suplente? El único que jugó bien el partido anterior,POSITIVE
sevillafc,Valentin Barco,Vamos barco 🔥,POSITIVE
sevillafc,Valentin Barco,Que bien juego barco🔥,POSITIVE
sevillafc,Valentin Barco,Barco🇦🇷,NEUTRAL
sevillafc,Valentin Barco,"Y si le ponen a Barco, Ejuke, Bade tal vez ganen pero deben ser titulares",POSITIVE
sevillafc,Valentin Barco,Vamos colo barco 👏👏👏,POSITIVE
sevillafc,Valentin Barco,Barco es un jugadorazo,POSITIVE
sevillafc,Valentin Barco,Bien por Barco de titular!👏👏,POSITIVE
sevillafc,Valentin Barco,F Barco,NEUTRAL
sevillafc,Valentin Barco,Que buen chiste sacar a barco en el segundo tiempo perdiendo 1-0 cuando es el que mas peligro provoco JAJAJAJA,POSITIVE
sevillafc,Valentin Barco,Deja ya fijado a Barco en el lateral izquierdo arfavoh,NEUTRAL
sevillafc,Valentin Barco,"Por favor les pido que Barco sume minutos ante el Barcelona por favor, que no sea titular si no quiere el técnico pero que sume minutos, muchos hinchas queremos ver cómo responde contra un gigante como el Barcelona 🙌",POSITIVE
sevillafc,Valentin Barco,Vamos Barco!!! A brillar y jugar excelente como vos sabes!!! No veo la hora de verte jugar!!!,POSITIVE
sevillafc,Valentin Barco,Barco y Montiel en el banco. Ya arrancaron perdiendo,POSITIVE
sevillafc,Valentin Barco,Y mí ídolo Barco?,POSITIVE
sevillafc,Valentin Barco,"Pongan a Barco ,es su única esperanza.",POSITIVE
sevillafc,Valentin Barco,Porfin barco titular,POSITIVE
sevillafc,Jesus Navas,Saúl Capitán una vez Navas se retire 🙌🙌🙌,NEUTRAL
sevillafc,Jesus Navas,Jesús Navas futuro presidente del Sevilla ❤️🤍❤️🤍❤️,POSITIVE
sevillafc,Jesus Navas,Ole ese navas ..unico❤️,POSITIVE
sevillafc,Jesus Navas,Si tuviera que definir al Sevilla solo diría Jesús Navas . Gracias por todo ojalá nunca dejaras lo que te apasiona y que pudiéramos disfrutar todo la vida .,POSITIVE
sevillafc,Jesus Navas,lo de navas es de leyenda,POSITIVE
sevillafc,Jesus Navas,"Ahí falta el único que siente el escudo de verdad , @jnavas16",POSITIVE
sevillafc,Jesus Navas,"Que me duele eso de su último derbi, pero que agradecidos le estamos de todo lo que ha dado por este equipo. Gracias Don Jesús Navas.",POSITIVE
sevillafc,Jesus Navas,Navasss 1️⃣6️⃣🫶🏻,POSITIVE
sevillafc,Jesus Navas,Eterno DON Jesús NAVAS ❤️,POSITIVE
sevillafc,Jesus Navas,"No tengo palabras para lo que sentí , pero en lo primero que pensé fue en Navas ❤️",POSITIVE
sevillafc,Jesus Navas,Grande Navas👍,POSITIVE
sevillafc,Jesus Navas,"El verdadero capitán del Sevilla F.C. es el gran canterano y leyend6 don Jesús Navas  ahí más.  Que no digo que sea mal jugador Saúl pero la leyenda eterna es y será siempre don @jnavas16  y soy de Zaragoza a muerte y zaragocista pero  a las leyendas se les cuida siempre,  se te echará bastante de menos capitan. ♥️🤍 @sevillafc",POSITIVE
sevillafc,Jesus Navas,Oleee ese Jesús Navas 🤍❤️,POSITIVE
sevillafc,Jesus Navas,Navas siempre navas ❤️🙌,POSITIVE
sevillafc,Jesus Navas,"Sevilla te ama, @jnavas16 ❤️",POSITIVE
sevillafc,Jesus Navas,Lo de que Navas no esté jugando de titular porqué?,POSITIVE
sevillafc,Jesus Navas,Leyenda Navas! 🙌🏼🎩,POSITIVE
sevillafc,Jesus Navas,"Menos mal que tenemos a Saúl, porque sino que solo estaría navas de capitán.",NEGATIVE
sevillafc,Jesus Navas,Jesus Navas ~ Juan Luis Sanchez Velasco. Navas no tiene 2° apellido o que?😂😂 Gonzalez carajo!,NEUTRAL
sevillafc,Jesus Navas,Navass 😍❤️,POSITIVE
sevillafc,Jesus Navas,Eres Grande Navas!!!,POSITIVE
sevillafc,Jesus Navas,"Los únicos jugadores válidos en este equipo son :lukebakio ,bade ,peque,navas y poco más muy bien bonito mercado Víctor orta",POSITIVE
sevillafc,Jesus Navas,"In UEFA Cup 2006 and 2007, Sevilla have Andres Palop, Antonio Puerta, Jesus Navas, Dani Alves, Luis Fabiano, Fredrik Kanoute",NEUTRAL
sevillafc,Jesus Navas,y Navas???? no concibo este derbi sin él🫠,POSITIVE
sevillafc,Jesus Navas,Vamos Sevilla Capi Jesús Navas ha por todas campeón ❤️❤️,POSITIVE
lille,Jonathan David,David le meilleur,POSITIVE
lille,Jonathan David,@rffal._ Jo david🔥,POSITIVE
lille,Jonathan David,ANNONCE ? Prolongement de David ?!?!?,NEUTRAL
lille,Jonathan David,David come to juve we are better ⚫️⚪️,POSITIVE
lille,Jonathan David,David prolonge !!!,NEUTRAL
lille,Jonathan David,Edon et David prolongé aussi s'il vous plaît 🙏🙏❤️🤍,POSITIVE
lille,Jonathan David,@timothyweah bring @jodavid to juve ⬛️⬜️,POSITIVE
lille,Jonathan David,David et Edon rester s'il vous plaît 🙏🙏❤️🤍,POSITIVE
lille,Jonathan David,DAVID PROLONGE STP NOTRE LÉGENDE ⚜️⚜️,POSITIVE
lille,Jonathan David,@jodavid 🤍🖤,POSITIVE
lille,Jonathan David,DAVID COME TO JUVE,POSITIVE
lille,Jonathan David,Je ne retiens pas de match mais seulement david et chevalier 😍❤️🤍,POSITIVE
lille,Jonathan David,DAVID GOAL IS HERE ⚽️🔴,POSITIVE
lille,Jonathan David,"Forza Juve Sempre, David come to Juve 🙏",POSITIVE
lille,Jonathan David,"Quelle bonne nouvelle pour Tiago Santos de poursuivre l'aventure lilloise, il faudrait maintenant essayer de convaincre Edon Zhegrova, car David c'est cuit à moins d'un retour de situation car il veut multiplier son salaire annuel 3 fois plus qu'à Lille soit 6 millions ❤️🤍",NEUTRAL
lille,Jonathan David,Bravo Jonathan David ❤️🔥😍👏🙌🙌💪🔴⚪🦷,POSITIVE
lille,Jonathan David,Psg need david as 9,POSITIVE
lille,Jonathan David,LFGGGGG @jodavid 🇨🇦🇨🇦🇨🇦,POSITIVE
lille,Jonathan David,COME TO JUVENTUS 🤍🖤 @jodavid,POSITIVE
lille,Jonathan David,"I mean 90% of that goal was the work of #26  to get it to David!! But alas, the strikers always get the glory….",NEGATIVE
lille,Jonathan David,Gros match de David,POSITIVE
lille,Jonathan David,david prime le retour ☝🏼☝🏼,POSITIVE
lille,Jonathan David,"Facile, Jonathan David ! 🇨🇦⚽️💥",POSITIVE
lille,Jonathan David,C'est bon pour nous ... Edon et David et Lucas en plus ça serait parfait.,POSITIVE
lille,Jonathan David,Je vois le drapeau canadien dans les gradins 🇨🇦🍁 vous avez de la chances d'être là 💯 Let's Go David 💪💪💪,POSITIVE
staderennesfc,Ludovic Blas,C’est mérité Blas!!,POSITIVE
staderennesfc,Ludovic Blas,@ludoblas Que Dieu t’accompagne !,POSITIVE
staderennesfc,Ludovic Blas,@ludoblas 💪🏽🔥,POSITIVE
staderennesfc,Ludovic Blas,"Totalement mérité Ludo' Blas, ça paye ! 🥹☝🏽",POSITIVE
staderennesfc,Ludovic Blas,"Honnêtement ça me fait chier on a vraiment des top joueurs tels que Seidu, Faye, Gronbaek, Kamara, Matusiwa, Blas, Jota et même le petit crack Andres Gomez mais tactiquement on a rien, on repose sur des exploits individuels de nos joueurs et la tactique d’aujourd’hui n’en parlons même pas, que des dribbleurs et des joueurs capables de faire la différence sur des exploits individuels et il compte « faire fermer des bouches », vivement un nouveau coach…",POSITIVE
staderennesfc,Ludovic Blas,"1 0 contre le havre 95 min de blas sur le terrain (15 ballons perdus l artiste !!!)sortir hateboar du corner alors que c est le plus grand - le mec comprend aucunes de ses consignes alors qu il a ete champion d europe....tjrs pas jouer la concurrence a truffert (celle avec meling me manque)notre meilleur joueur est un defenseur de ligue 2kalimuendo j en parle meme pas tellement il m exaspere, mais nos champions de l analyse vont encore dure qu il fut bon....PLEINE LUCARNE trouvé nous UN match gagné ou le public a 80 pourcent a siflé l equipe et un coach comme ça...moi j ai connu les applauses quand on en a pris 5 face au auxerre de cissé and co..DEPLORABLE - POUR L INSTITUTION IL DISAIT ...",NEGATIVE
staderennesfc,Ludovic Blas,Blas il va marquer ce soir 🔥,POSITIVE
staderennesfc,Ludovic Blas,Ludo' Blas titulaire 🔥🔥,POSITIVE
staderennesfc,Ludovic Blas,"Un bon 3-1 pour se reprendre ce week-end jota, gronbaek et blas et côté havrais ce sera sur coup de pied arrêté je pense soit kinkoué ou Lloris à la réception ALLEZ RENNES !! 👏❤️🖤",POSITIVE
staderennesfc,Ludovic Blas,"Sans Manquer de respect à @jul_stephan , à quelle heure arrive @stefpiolii s'il vous plaît? Après avoir perdu contre Reims... IT's time. Merci pour tout ce que vous avez donné au Stade, passons à la suite, logique. Peut-être que je suis trop dur...je laisse le soin à qui de droit. Mais perdre contre Reims...Avec un match aussi mauvais...Seule satisfaction: @ludoblas est de retour à son vrai niveau",POSITIVE
staderennesfc,Ludovic Blas,Blas,NEUTRAL
staderennesfc,Ludovic Blas,J'ai trouvé blas et wooh bon. Le match est plaisant mais la défense c'est nul et quand vous avez des possibilités allezi bordel dem,POSITIVE
staderennesfc,Ludovic Blas,Ludovic blas,NEUTRAL
staderennesfc,Ludovic Blas,La classe @ludoblas !,POSITIVE
staderennesfc,Ludovic Blas,@staderennaisfc @ludoblas 🔥🔥🔥🔥🔥,POSITIVE
staderennesfc,Ludovic Blas,Selecao 🇧🇷 @ludoblas 😍,POSITIVE
staderennesfc,Ludovic Blas,Rennes - Toulouse : 2 - 1 ( buts : blas ( 2 ) ),POSITIVE
staderennesfc,Ludovic Blas,Il y avais pas d’autres photo que de mettre celle ou blas est avec le maillot de Nantes ..,NEUTRAL
staderennesfc,Ludovic Blas,gardez blas svp !,POSITIVE
staderennesfc,Ludovic Blas,Blas❤️🖤,POSITIVE
staderennesfc,Ludovic Blas,Bosseur Ludo' Blas 🔥🔥⚡️,POSITIVE
staderennesfc,Ludovic Blas,@ludoblas crack 😍,POSITIVE
staderennesfc,Ludovic Blas,Merci @ludoblas 😍🔥,POSITIVE
staderennesfc,Ludovic Blas,COME TO GALATASARAY BLAS🦁🦁,POSITIVE
staderennesfc,Ludovic Blas,@ludoblas confirme son début de saison Canon!!,POSITIVE
