club,player,comment,post,caption,sentiment_score,sentiment,explanation
FCH,Niklas Dorsch,Schön dorschhalten 💪😀,https://www.instagram.com/p/C_ThUk-IoAD/,Transfer-Coup am Deadline-Day: Dorschi ist zurück beim FCH! ✍️🔴🔵 #NurDerFCH,1.0,POSITIVE,"The comment uses the phrase 'Schön dorschhalten', which can be interpreted as a positive encouragement directed at Niklas Dorsch. The emojis 💪 and 😀 further indicate a supportive and cheerful sentiment."
FCH,Niklas Dorsch,Willkommen zurück Dorschi ❤️💙 Mega geil 😍,https://www.instagram.com/p/C_ThUk-IoAD/,Transfer-Coup am Deadline-Day: Dorschi ist zurück beim FCH! ✍️🔴🔵 #NurDerFCH,1.0,POSITIVE,"The comment welcomes Niklas Dorsch back and expresses excitement with positive emojis and language, indicating a strong positive sentiment towards the player."
FCH,Niklas Dorsch,Viel Glück Dorschi und passt gut auf ihn auf FCH❤️💚🤍,https://www.instagram.com/p/C_ThUk-IoAD/,Transfer-Coup am Deadline-Day: Dorschi ist zurück beim FCH! ✍️🔴🔵 #NurDerFCH,1.0,POSITIVE,"The comment wishes Niklas Dorsch good luck ('Viel Glück Dorschi') and shows care with 'passt gut auf ihn auf,' indicating a positive sentiment towards the player. The heart emojis also imply affection for him."
FCH,Niklas Dorsch,"Der Verlorene Sohn ist zurück & es zeigt welche Strahlkraft, man genießt... Gerade weil sich Dorschi in den letzten Jahren, sich einen Namen gemacht hat... Viel Glück & Erfolg auf der Ostalb.",https://www.instagram.com/p/C_ThUk-IoAD/,Transfer-Coup am Deadline-Day: Dorschi ist zurück beim FCH! ✍️🔴🔵 #NurDerFCH,1.0,POSITIVE,"The comment expresses a positive sentiment towards Niklas Dorsch, referring to his return and the joy he brings. Terms like 'Strahlkraft' (radiance) and wishing him 'Viel Glück & Erfolg' (good luck and success) indicate a strong positive sentiment."
FCH,Niklas Dorsch,Wahnsinn @niklasdorsch ❤️💙,https://www.instagram.com/p/C_ThUk-IoAD/,Transfer-Coup am Deadline-Day: Dorschi ist zurück beim FCH! ✍️🔴🔵 #NurDerFCH,1.0,POSITIVE,"The comment expresses strong admiration or excitement towards Niklas Dorsch, as indicated by the word 'Wahnsinn' (meaning 'incredible') and the heart emojis, which convey affection."
FCH,Niklas Dorsch,😍😍😍Mega und viel Glück 🍀🍀🍀💪👌👍 wir freuen uns schon auf Dich ❤️💙❤️💙🔥🔥🔥 Welcome Back auf dem Schlossberg FCH Dorschi 💪💪💪,https://www.instagram.com/reel/C_Tfe3PI7zh/,✌️🔴🔵 #NurDerFCH,1.0,POSITIVE,"The comment expresses excitement and support for Niklas Dorsch with words like 'Mega', 'viel Glück', and positive emojis. The phrasing 'Welcome Back auf dem Schlossberg FCH Dorschi' indicates a welcoming and enthusiastic sentiment towards the player."
FCH,Niklas Dorsch,Endlich ist Dorsch zurück🔵🔴 Auf weitere Jahre,https://www.instagram.com/reel/C_Tfe3PI7zh/,✌️🔴🔵 #NurDerFCH,1.0,POSITIVE,The comment expresses excitement about Dorsch's return with the phrase 'Endlich ist Dorsch zurück' which translates to 'Finally Dorsch is back'. The mention of 'Auf weitere Jahre' indicates a positive outlook for his future with the team.
FCH,Niklas Dorsch,Hab von Dorsch früher wo er schon in heidenheim war ein Trikot bekommen,https://www.instagram.com/reel/C_Tfe3PI7zh/,✌️🔴🔵 #NurDerFCH,0.0,NEUTRAL,"The comment mentions receiving a jersey from Dorsch when he was at Heidenheim, but it does not express a clear positive or negative sentiment towards him. It is simply a neutral statement about a past experience."
FCH,Niklas Dorsch,So komisch irgendwie. Ich gedacht für Dorsch geht es nur noch nach oben und jetzt ist er schon wieder zurück in Heidenheim.,https://www.instagram.com/reel/C_Tfe3PI7zh/,✌️🔴🔵 #NurDerFCH,-0.5,NEGATIVE,"The comment expresses disappointment regarding Niklas Dorsch's career trajectory, implying that he is not progressing as expected since he has returned to Heidenheim."
FCH,Niklas Dorsch,Willkommen Dorschi,https://www.instagram.com/reel/C_Tfe3PI7zh/,✌️🔴🔵 #NurDerFCH,1.0,POSITIVE,"The comment welcomes Niklas Dorsch (referred to as Dorschi), indicating a positive sentiment towards him."
FCH,Niklas Dorsch,Krasser move 2 Tage vor Augsburg spiel Dorsch zu holen 👏 da sehe ich ein Sieg,https://www.instagram.com/reel/C_Tfe3PI7zh/,✌️🔴🔵 #NurDerFCH,1.0,POSITIVE,"The comment expresses enthusiasm and optimism about acquiring Niklas Dorsch just days before a match against Augsburg, implying that his presence will contribute to a victory."
FCH,Niklas Dorsch,Willkommen zurück Dorschi 😍❤️💙,https://www.instagram.com/reel/C_Tfe3PI7zh/,✌️🔴🔵 #NurDerFCH,1.0,POSITIVE,"The comment enthusiastically welcomes Niklas Dorsch back, using affectionate terms ('Dorschi') and positive emojis (😍❤️💙), indicating a warm and positive sentiment towards the player."
FCH,Niklas Dorsch,Willkommen zurück Dorschi ❤️💙,https://www.instagram.com/reel/C_Tfe3PI7zh/,✌️🔴🔵 #NurDerFCH,1.0,POSITIVE,"The comment expresses a welcoming sentiment towards Niklas Dorsch, using affectionate terms and heart emojis, indicating a positive attitude."
FCH,Niklas Dorsch,@niklasdorsch ♥️💙🤍,https://www.instagram.com/reel/C_TdNlcRTd7/,und,1.0,POSITIVE,"The use of heart emojis (♥️💙🤍) indicates love and support for Niklas Dorsch, demonstrating a positive sentiment towards him."
FCH,Niklas Dorsch,Ich hab gehört Dorsch trifft direkt gegen seine ex club❤️💙,https://www.instagram.com/reel/C_TdNlcRTd7/,und,1.0,POSITIVE,"The comment expresses excitement about Niklas Dorsch potentially scoring against his former club, indicating a positive sentiment towards him, especially with the use of heart emojis."
FCH,Niklas Dorsch,Mein Bruder @niklasdorsch ich wünsche dir das aller beste für deinen weiteren Weg und ich werde immer hinter dir stehen ❤️🫶😍,https://www.instagram.com/reel/C_TdNlcRTd7/,und,1.0,POSITIVE,"The comment expresses a strong supportive sentiment towards Niklas Dorsch, wishing him the best in his future endeavors and indicating unwavering support."
FCH,Niklas Dorsch,@niklasdorsch beim FCH vor GTA VI,https://www.instagram.com/reel/C_TdNlcRTd7/,und,0.0,NEUTRAL,"The comment mentions Niklas Dorsch but does not express a clear positive or negative sentiment towards him. It references his name in the context of a team (FCH) and a video game (GTA VI), implying no particular opinion about Dorsch himself."
FCH,Niklas Dorsch,Dorschi ❤️💙,https://www.instagram.com/reel/C_TdNlcRTd7/,und,1.0,POSITIVE,"The comment includes a positive reference to 'Dorschi' with heart emojis, indicating affection and support for the player Niklas Dorsch."
FCH,Niklas Dorsch,Willkommen zurück Dorschi 🔥,https://www.instagram.com/reel/C_TdNlcRTd7/,und,1.0,POSITIVE,"The comment welcomes Niklas Dorsch back with enthusiasm, indicated by the use of a flame emoji (🔥), which typically signifies excitement or intensity."
FCH,Niklas Dorsch,Servus Dorschi ❤️💙,https://www.instagram.com/reel/C_TdNlcRTd7/,und,1.0,POSITIVE,"The comment uses a friendly greeting 'Servus' and affectionately refers to Niklas Dorsch as 'Dorschi' with heart emojis, indicating a positive sentiment towards the player."
FCH,Niklas Dorsch,❤️🔥🔥 @niklasdorsch,https://www.instagram.com/reel/C_TdNlcRTd7/,und,1.0,POSITIVE,"The use of heart and fire emojis indicates strong positive emotions towards Niklas Dorsch, and the comment directly tags him. This clearly reflects admiration and support for the player."
FCH,Niklas Dorsch,Goodluck my brooo @niklasdorsch ❤️❤️,https://www.instagram.com/reel/C_TdNlcRTd7/,und,1.0,POSITIVE,The comment expresses goodwill towards Niklas Dorsch with the phrase 'Goodluck my brooo' and the use of heart emojis signifies a positive sentiment.
FCH,Niklas Dorsch,"Yes, Dorschi is back 💪🏻🫶",https://www.instagram.com/reel/C_TdNlcRTd7/,und,1.0,POSITIVE,"The comment expresses excitement about Niklas Dorsch returning, indicated by the enthusiastic phrasing 'Dorschi is back' and the use of positive emojis like 💪🏻 and 🫶."
FCH,Niklas Dorsch,"Er war bei uns eee nur verletzt und wir haben einen besseren mit Jakic! Ich wünsche ihm aber, dass er verletzungsfrei und sehr gut spiel. Auf Wiedersehen Dorsch ❤️💚🤍",https://www.instagram.com/reel/C_TdNlcRTd7/,und,0.5,POSITIVE,"The comment expresses a mixed sentiment towards Niklas Dorsch. While the user mentions that Dorsch was often injured and implies that another player (Jakic) is better, they also wish Dorsch well for the future and hope he plays well. The heart emojis suggest a degree of fondness, leading to an overall positive sentiment."
FCH,Niklas Dorsch,"Boaaaaaaaaaaah, wie geil ist das denn? Dorschi wieder beim FCH 🔴🔵",https://www.instagram.com/reel/C_TdNlcRTd7/,und,1.0,POSITIVE,The comment expresses excitement and positivity towards Niklas Dorsch being back at FCH. The use of 'geil' (meaning awesome or great) and the exclamation indicates a very positive sentiment.
FCH,Niklas Dorsch,Welcome back @niklasdorsch! 💙❤️,https://www.instagram.com/reel/C_TdNlcRTd7/,und,1.0,POSITIVE,"The comment expresses a welcoming sentiment towards Niklas Dorsch, indicated by the phrase 'Welcome back' and the use of heart emojis, which typically convey warmth and affection."
FCH,Niklas Dorsch,@soso_charlotte Gestern nach dem Spiel habe ich doch noch gemeint wie geil es wäre wenn Dorschi zurück kommt 😍,https://www.instagram.com/reel/C_TdNlcRTd7/,und,1.0,POSITIVE,"The comment expresses excitement about Niklas Dorsch returning, using the term 'geil' (great) and a heart eyes emoji, indicating a positive sentiment towards him."
FCH,Niklas Dorsch,"Für @niklasdorsch freut es mich, für uns isses besch....🫤❤️💚🤍",https://www.instagram.com/reel/C_TdNlcRTd7/,und,-0.5,NEGATIVE,"The comment expresses a negative sentiment using 'iss es besch....', which translates to a negative experience or outcome. While it begins with a positive note ('freut es mich' - I'm happy for Niklas Dorsch), the overall tone is overshadowed by the negative sentiment about the situation. The emojis used (🫤❤️💚🤍) suggest mixed feelings, further contributing to the negative impression."
FCH,Niklas Dorsch,Wer freut sich auf Dorschi ❤️➡️,https://www.instagram.com/reel/C_TdNlcRTd7/,und,1.0,POSITIVE,"The comment expresses excitement about 'Dorschi,' which is a nickname or affectionate term for Niklas Dorsch, indicating a positive sentiment towards the player. The heart emoji also reinforces this positive attitude."
FCH,Niklas Dorsch,Jaaa Dorsch!! Willkommen Züruck ❤️💙 wir ziehen mit Dorsch durch Europa,https://www.instagram.com/reel/C_TdNlcRTd7/,und,1.0,POSITIVE,"The comment expresses enthusiasm and support for Niklas Dorsch, welcoming him back with a positive tone and using affectionate emojis. The phrase 'wir ziehen mit Dorsch durch Europa' indicates a strong camaraderie and excitement about his contributions."
FCH,Niklas Dorsch,Dorschiii💙❤️❤️‍🔥❤️‍🔥,https://www.instagram.com/reel/C_TdNlcRTd7/,und,1.0,POSITIVE,"The comment expresses affection for Niklas Dorsch, indicated by the affectionate nickname 'Dorschiii' and the use of multiple heart emojis, which conveys strong positive sentiment."
FCH,Niklas Dorsch,Geiler Dorsch! 🔴🔵,https://www.instagram.com/reel/C_TdNlcRTd7/,und,1.0,POSITIVE,"The comment 'Geiler Dorsch!' translates to 'Awesome Dorsch!' in English, which expresses a highly positive sentiment towards Niklas Dorsch. The use of the pumps and the enthusiastic tone further emphasizes this positive sentiment."
FCH,Niklas Dorsch,Welcome back Dorschi,https://www.instagram.com/reel/C_TdNlcRTd7/,und,1.0,POSITIVE,"The comment expresses a warm welcome back to Niklas Dorsch, indicating a positive sentiment towards him."
FCH,Niklas Dorsch,Dorschi😍😍,https://www.instagram.com/reel/C_TdNlcRTd7/,und,1.0,POSITIVE,"The comment expresses affection for Niklas Dorsch, indicated by the use of the name 'Dorschi' and the heart-eyed emojis (😍😍) which convey strong positive feelings toward the player."
FCH,Niklas Dorsch,🔥🔥yäääs dorschi,https://www.instagram.com/reel/C_TdNlcRTd7/,und,1.0,POSITIVE,"The comment expresses excitement and approval towards Niklas Dorsch, indicated by the use of 'yäääs' which conveys enthusiasm, and the fire emojis (🔥🔥) further emphasize a positive sentiment."
FCH,Niklas Dorsch,Jaa dorschi ist back,https://www.instagram.com/reel/C_TdNlcRTd7/,und,1.0,POSITIVE,"The comment 'Jaa dorschi ist back' expresses excitement about Niklas Dorsch's return, which indicates a positive sentiment towards the player."
