club,player,comment,post,caption,sentiment_score,sentiment,explanation,translation
villareal,Yéremy Pino,"Baena y Jeremy Pino, uno por insultar a Fede de manera grave y el otro pues de cargarse la dos jugadores. Vais a muerte contra el Madrid pero ya sabéis lo que toca en la siguiente jornada no? Palmar por 5-0.",https://www.instagram.com/p/DAs2_lUxk99/,🇪🇸 𝗕 𝗔 𝗘 𝗠 𝗬 🇪🇸La Selección Española de Fútbol ha convocado a Yeremy Pino y Álex Baena para participar en los encuentros contra Dinamarca (12 de octubre) y Serbia (15 de octubre) de la UEFA Nations League,-1.0,NEGATIVE,"The comment expresses criticism towards team behavior, specifically mentioning Yéremy Pino negatively. The phrase 'cargarse la dos jugadores' implies a harmful action which implies negativity towards him. Overall, the sentiment towards Yéremy Pino is very negative.","Baena and Jeremy Pino, one for seriously insulting Fede and the other for messing up the two players. You all go to death against Madrid but you know what comes next, right? Lose 5-0."
villareal,Yéremy Pino,Pu*a Pino,https://www.instagram.com/p/DAs2_lUxk99/,🇪🇸 𝗕 𝗔 𝗘 𝗠 𝗬 🇪🇸La Selección Española de Fútbol ha convocado a Yeremy Pino y Álex Baena para participar en los encuentros contra Dinamarca (12 de octubre) y Serbia (15 de octubre) de la UEFA Nations League,-1.0,NEGATIVE,"The comment includes a derogatory term directed at Yéremy Pino, indicating a strong negative sentiment towards him.",F*ck Pino
villareal,Yéremy Pino,Tombol patahkan kaki yeremy pino di match selanjutnya >>>>>>>,https://www.instagram.com/p/DAs2_lUxk99/,🇪🇸 𝗕 𝗔 𝗘 𝗠 𝗬 🇪🇸La Selección Española de Fútbol ha convocado a Yeremy Pino y Álex Baena para participar en los encuentros contra Dinamarca (12 de octubre) y Serbia (15 de octubre) de la UEFA Nations League,-1.0,NEGATIVE,"The comment expresses a desire for Yéremy Pino to suffer a serious injury ('break his leg') in the next match, which is a clear negative sentiment towards the player. The phrase explicitly targets Yéremy Pino.",I hope Yéremy Pino breaks his leg in the next match.
villareal,Yéremy Pino,Increíble la lógica madridista 😂 culpando a pino por la triste lesión de Carvajal que más se podría esperar del fanatismo ojalá se recupere pronto el capi,https://www.instagram.com/p/DAs2_lUxk99/,🇪🇸 𝗕 𝗔 𝗘 𝗠 𝗬 🇪🇸La Selección Española de Fútbol ha convocado a Yeremy Pino y Álex Baena para participar en los encuentros contra Dinamarca (12 de octubre) y Serbia (15 de octubre) de la UEFA Nations League,-0.5,NEGATIVE,"The comment criticizes the judgment of Real Madrid fans for blaming Yéremy Pino for Carvajal's injury, suggesting that the blame is unjust and stemming from fanaticism. The use of 'increíble' and 'triste' signifies a negative perspective towards the situation involving Pino, despite the later wish for Carvajal's recovery, which does not negate the overall negativity towards Pino's role in the fan's perspective.","Incredible the logic of Madrid fans 😂 blaming Pino for Carvajal's sad injury, what more could be expected from fanaticism. I hope the captain recovers soon."
villareal,Yéremy Pino,A pino le pegan la patada y encima lo quieren culpar gente que no sabe de fútbol mejor ni critiquen,https://www.instagram.com/p/DAs2_lUxk99/,🇪🇸 𝗕 𝗔 𝗘 𝗠 𝗬 🇪🇸La Selección Española de Fútbol ha convocado a Yeremy Pino y Álex Baena para participar en los encuentros contra Dinamarca (12 de octubre) y Serbia (15 de octubre) de la UEFA Nations League,-1.0,NEGATIVE,"The comment expresses frustration towards people who criticize Yéremy Pino, indicating that they do not understand football, which indirectly reflects a negative sentiment towards the critics rather than the player himself. However, the mention of Pino being blamed contributes to a negative context.","Pino gets kicked and on top of that, they want to blame him; people who don't know about football better not criticize."
villareal,Yéremy Pino,"Yeremi Pino is predator injury player, this guy B4D player in the world, please baned all club for hire yeremi pino!!!!",https://www.instagram.com/p/DAs2_lUxk99/,🇪🇸 𝗕 𝗔 𝗘 𝗠 𝗬 🇪🇸La Selección Española de Fútbol ha convocado a Yeremy Pino y Álex Baena para participar en los encuentros contra Dinamarca (12 de octubre) y Serbia (15 de octubre) de la UEFA Nations League,-1.0,NEGATIVE,"The comment expresses strong negative sentiments towards Yéremy Pino, referring to him as a 'predator injury player' and 'B4D player in the world'. The phrases indicate that the commenter believes he is not a good player and should be banned from clubs.","Yeremi Pino is a predator injury player, this guy is the worst player in the world, please ban all clubs from hiring Yeremi Pino!!!!"
villareal,Yéremy Pino,Pino & baena🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈,https://www.instagram.com/p/DAs2_lUxk99/,🇪🇸 𝗕 𝗔 𝗘 𝗠 𝗬 🇪🇸La Selección Española de Fútbol ha convocado a Yeremy Pino y Álex Baena para participar en los encuentros contra Dinamarca (12 de octubre) y Serbia (15 de octubre) de la UEFA Nations League,0.0,NEUTRAL,"The comment only mentions Yéremy Pino and Baena together with a series of rainbow flags, which does not express any clear positive or negative sentiment toward either player. The lack of context regarding emotions makes it neutral.",Pino & Baena 🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈
villareal,Yéremy Pino,No es tu culpa Pino ❤️,https://www.instagram.com/p/DAs2_lUxk99/,🇪🇸 𝗕 𝗔 𝗘 𝗠 𝗬 🇪🇸La Selección Española de Fútbol ha convocado a Yeremy Pino y Álex Baena para participar en los encuentros contra Dinamarca (12 de octubre) y Serbia (15 de octubre) de la UEFA Nations League,1.0,POSITIVE,"The comment expresses support for Yéremy Pino, suggesting that any negative situation he's in is not his fault, which reflects a positive sentiment towards him. The heart emoji indicates affection or support.",It's not your fault Pino ❤️
villareal,Yéremy Pino,"No hay problema Pino,❤️❤️",https://www.instagram.com/p/DAs2_lUxk99/,🇪🇸 𝗕 𝗔 𝗘 𝗠 𝗬 🇪🇸La Selección Española de Fútbol ha convocado a Yeremy Pino y Álex Baena para participar en los encuentros contra Dinamarca (12 de octubre) y Serbia (15 de octubre) de la UEFA Nations League,1.0,POSITIVE,"The comment expresses support for Yéremy Pino, indicated by the use of 'no hay problema' (no problem) which conveys reassurance, along with the heart emojis that denote affection and positivity.","There is no problem Pino,❤️❤️"
villareal,Yéremy Pino,How is anyone blaming Yeremy for the injury? It was accidental and why would Pino want to injure a fellow Spain International,https://www.instagram.com/p/DAs2_lUxk99/,🇪🇸 𝗕 𝗔 𝗘 𝗠 𝗬 🇪🇸La Selección Española de Fútbol ha convocado a Yeremy Pino y Álex Baena para participar en los encuentros contra Dinamarca (12 de octubre) y Serbia (15 de octubre) de la UEFA Nations League,1.0,POSITIVE,"The comment defends Yéremy Pino against blame for an injury, indicating a supportive stance towards him. The use of 'accidental' and questioning the rationale behind blaming him for the injury implies a positive sentiment towards his character and intentions.",Comment: How is anyone blaming Yeremy for the injury? It was accidental and why would Pino want to injure a fellow Spain International.
villareal,Yéremy Pino,The best Yermy Pino❤️👏,https://www.instagram.com/p/DAs2_lUxk99/,🇪🇸 𝗕 𝗔 𝗘 𝗠 𝗬 🇪🇸La Selección Española de Fútbol ha convocado a Yeremy Pino y Álex Baena para participar en los encuentros contra Dinamarca (12 de octubre) y Serbia (15 de octubre) de la UEFA Nations League,1.0,POSITIVE,"The comment expresses admiration for Yéremy Pino, referring to him as 'the best' and including positive emojis (heart and applause), which enhances the positive sentiment.",The best Yéremy Pino❤️👏
villareal,Yéremy Pino,"Que mal juega este villarreal, que pongan ya a baena y pino",https://www.instagram.com/p/DAjYGQxNBtA/,𝐗𝐈 #VillarrealLasPalmas 𝐗𝐈,0.0,NEUTRAL,"The comment expresses dissatisfaction with Villarreal's overall performance but does not specifically criticize Yéremy Pino. Instead, it suggests that he should be played more, indicating a neutral sentiment towards him. The use of 'que mal juega este villarreal' reflects a general critique of the team's play, not of Pino individually.","How badly Villarreal plays, they should put Baena and Pino on already"
villareal,Yéremy Pino,@azizikasese Hawa hapa Pino na Baena 🙌🏻🙌🏻🙌🏻,https://www.instagram.com/p/DAjPOgQo-xQ/,🤜 B A E M Y 🤛,0.0,NEUTRAL,"The comment does not express any positive or negative sentiment towards Yéremy Pino. It merely mentions him alongside another player, Baena, without any evaluative language. The emojis indicate a celebratory tone but do not specify sentiment towards Pino.",Here are Pino and Baena 🙌🏻🙌🏻🙌🏻
villareal,Yéremy Pino,Va a jugar yeremy pino o no,https://www.instagram.com/p/DAifFmEKkG_/,Es lunes. 𝗣𝗲𝗿𝗼 𝗷𝘂𝗲𝗴𝗮 𝗲𝗹 𝗩𝗶𝗹𝗹𝗮 😏.#VillarrealLasPalmas,0.0,NEUTRAL,"The comment is asking a question about whether Yéremy Pino will play or not. It does not express a positive or negative sentiment towards the player, remaining neutral in tone.",Is Yéremy Pino going to play or not?
villareal,Yéremy Pino,no juega yeremy pino verdad,https://www.instagram.com/p/DAifFmEKkG_/,Es lunes. 𝗣𝗲𝗿𝗼 𝗷𝘂𝗲𝗴𝗮 𝗲𝗹 𝗩𝗶𝗹𝗹𝗮 😏.#VillarrealLasPalmas,0.0,NEUTRAL,"The comment is simply asking if Yéremy Pino is not playing, which does not convey any positive or negative sentiment towards the player. It is a straightforward inquiry about his participation.","Yéremy Pino is not playing, right?"
villareal,Yéremy Pino,"❤️Soy culé de corazón,Brutal!!! deportividad y compañerismo ante todo, sin importar los colores ni el resultado. GRANDE Yeremi Pino.❤️",https://www.instagram.com/p/DAOY-Qlod3U/,🫂💛❤️💙🫂#VillarrealBarca,1.0,POSITIVE,"The comment expresses admiration for Yéremy Pino, stating he is 'GRANDE' (great) and emphasizes sportsmanship and camaraderie, which reflects positively on him.","❤️I am a fan from the heart, Brutal!!! sportsmanship and companionship above all, regardless of the colors or the result. GREAT Yéremy Pino.❤️"
villareal,Yéremy Pino,@nuriaespinosalopez,https://www.instagram.com/p/DAGYQ59oR9R/,⚽ SORTEO 10 ENTRADAS DOBLES EN PALCO ⚽Si tú también eres groguet y quieres vivir la emoción de este partido a lo grande desde nuestro palco sigue estos pasos:1️⃣ Sigue a @cornerdelpoble y @villarrealcf 2️⃣ Menciona a esa persona con la que compartirás el premio3️⃣ Comparte este post en tus historias🏆Comunicaremos a lxs 10 ganadorxs el viernes 27 de septiembre.#corner #sportsbar #cornersportsbar #espaciogastronomico #villarrealcf #estadiodelaceramica #sorteo #sorteoentradas #sorteofutbol #sorteovillarrealcf,0.0,NEUTRAL,The comment does not provide any sentiment towards Yéremy Pino as it is just a mention of a user without any opinion expressed about the player.,@nuriaespinosalopez
villareal,Yéremy Pino,@la_del_5_pino,https://www.instagram.com/p/DAGYQ59oR9R/,⚽ SORTEO 10 ENTRADAS DOBLES EN PALCO ⚽Si tú también eres groguet y quieres vivir la emoción de este partido a lo grande desde nuestro palco sigue estos pasos:1️⃣ Sigue a @cornerdelpoble y @villarrealcf 2️⃣ Menciona a esa persona con la que compartirás el premio3️⃣ Comparte este post en tus historias🏆Comunicaremos a lxs 10 ganadorxs el viernes 27 de septiembre.#corner #sportsbar #cornersportsbar #espaciogastronomico #villarrealcf #estadiodelaceramica #sorteo #sorteoentradas #sorteofutbol #sorteovillarrealcf,0.0,NEUTRAL,The comment only tags the player without expressing any specific sentiment towards them.,@la_del_5_pino
villareal,Yéremy Pino,@nuriaespinosalopez 👏,https://www.instagram.com/p/DAGYQ59oR9R/,⚽ SORTEO 10 ENTRADAS DOBLES EN PALCO ⚽Si tú también eres groguet y quieres vivir la emoción de este partido a lo grande desde nuestro palco sigue estos pasos:1️⃣ Sigue a @cornerdelpoble y @villarrealcf 2️⃣ Menciona a esa persona con la que compartirás el premio3️⃣ Comparte este post en tus historias🏆Comunicaremos a lxs 10 ganadorxs el viernes 27 de septiembre.#corner #sportsbar #cornersportsbar #espaciogastronomico #villarrealcf #estadiodelaceramica #sorteo #sorteoentradas #sorteofutbol #sorteovillarrealcf,0.0,NEUTRAL,The comment consists only of an applause emoji and a mention of another user without expressing a sentiment towards the player Yéremy Pino. It does not indicate approval or disapproval.,@nuriaespinosalopez 👏
villareal,Yéremy Pino,"Cặp bài trùng chất lượng gọi tên Ayoze Perez và Yeremy Pino, quá đỉnh🔥",https://www.instagram.com/p/C_50mBsOCWk/,+3 ☕️💛,1.0,POSITIVE,"The comment praises Yéremy Pino by referring to him as part of a 'quality duo' alongside another player, indicating a positive perception of his skills. The use of 'quá đỉnh' (meaning 'awesome' or 'top-notch') further emphasizes the positive sentiment towards Yéremy Pino.","The quality duo is named Ayoze Perez and Yeremy Pino, absolutely awesome🔥"
villareal,Álex Baena,vaya tela no contar la asistencia a baena por dios,https://www.instagram.com/reel/DBvTGngogai/,Another KEY GOAL for @ayozepg! 💛➕3️⃣#RealValladolidVillarreal #LALIGA #LALIGAEASPORTS #LALIGAHighlights,-1.0,NEGATIVE,"The comment expresses frustration or disappointment about not counting Baena's assist, which implies a negative sentiment towards the situation involving him. The phrase 'vaya tela' suggests incredulity or annoyance.","What a disappointment, not counting the assist to Baena, for God's sake."
villareal,Álex Baena,How is that not Baena assist?,https://www.instagram.com/reel/DBvTGngogai/,Another KEY GOAL for @ayozepg! 💛➕3️⃣#RealValladolidVillarreal #LALIGA #LALIGAEASPORTS #LALIGAHighlights,0.0,NEUTRAL,The comment questions a situation regarding Álex Baena's assist but does not express a clear positive or negative sentiment toward the player. It indicates confusion or disagreement without direct praise or criticism.,How is that not Baena's assist?
villareal,Álex Baena,Alex Baena can't stop giving assists man 😮‍💨,https://www.instagram.com/reel/DBvTGngogai/,Another KEY GOAL for @ayozepg! 💛➕3️⃣#RealValladolidVillarreal #LALIGA #LALIGAEASPORTS #LALIGAHighlights,1.0,POSITIVE,"The comment expresses admiration for Álex Baena's ability to provide assists, which is a positive aspect of his performance. The use of 'can't stop' and the emoji indicates excitement and appreciation.",Alex Baena can't stop giving assists man 😮‍💨
villareal,Álex Baena,Baena 💙❤️💙❤️,https://www.instagram.com/reel/DBvTGngogai/,Another KEY GOAL for @ayozepg! 💛➕3️⃣#RealValladolidVillarreal #LALIGA #LALIGAEASPORTS #LALIGAHighlights,1.0,POSITIVE,"The comment expresses affection and support for Álex Baena through the use of heart emojis, indicating a positive sentiment towards the player.",Baena 💙❤️💙❤️
villareal,Álex Baena,Y esto no es asistencia de Baena??,https://www.instagram.com/reel/DBvTGngogai/,Another KEY GOAL for @ayozepg! 💛➕3️⃣#RealValladolidVillarreal #LALIGA #LALIGAEASPORTS #LALIGAHighlights,0.0,NEUTRAL,"The comment is asking a question about whether it was an assist by Baena, and does not express a clear positive or negative sentiment towards the player.",And isn't this an assist by Baena??
villareal,Álex Baena,Nuestro mejor jugador con baena,https://www.instagram.com/p/DBufZS2CeYf/,Hoy han sido 3 ⚽ más (y 2 asistencias) y ya suma... ¡🔟!,1.0,POSITIVE,"The comment expresses a strong positive sentiment towards Álex Baena, referring to him as the 'best player' of the team. The phrase 'nuestro mejor jugador' indicates admiration and support.",Our best player with Baena
villareal,Álex Baena,Baena el próximo,https://www.instagram.com/p/DBryKfjRRQ-/,"El triunfo de una idea. El triunfo de la @canteragrogueta.Orgullosos de ti, Rodri 💛#BallonDor",0.0,NEUTRAL,"The comment 'Baena el próximo' does not express a positive or negative sentiment towards Álex Baena. It seems to imply something about him being the next in line for something, but it lacks context to determine a clear sentiment.",Baena the next.
villareal,Álex Baena,"Baena debio estudiar entre calculo algebraico o trigonometria humana por que pareciera que patea la bola con un calculo exacto a donde este su delantero , valla que en el wuanda todabia tiene Shorloth estar extrañando esos pases",https://www.instagram.com/p/DBmNwALOJCC/,Feliz de estar de vuelta 💛,-0.5,NEGATIVE,"The comment suggests that Álex Baena might have studied different subjects instead of focusing on soccer skills, implying a lack of effectiveness in his passing. The phrase about missing the passes indicates disappointment towards his performance. Overall, the comment reflects a negative sentiment towards the player.","Baena should have studied either algebraic calculus or human trigonometry because it seems like he kicks the ball with an exact calculation to where his forward is, it’s clear that at Wanda he still misses those passes from Shorloth."
villareal,Álex Baena,Porque no le dan la asis a Baena?,https://www.instagram.com/p/DBl045NPKaX/,"¡VAAAAAAMOOOOS 💪!¡Costó sangre, sudor y un sinfín de ocasiones pero el Submarino se lleva tres merecidísimos puntos en Zorrilla con goles de Barry y Ayoze!¡Triunfo de fe en Pucela!",0.0,NEUTRAL,"The comment is a question about why Álex Baena is not being given an assist. It does not express a clear negative or positive sentiment towards him; rather, it indicates a desire for recognition without any emotional weight.",Why don't they give the assist to Baena?
villareal,Álex Baena,"Cuéntele la asistencia a Alex Baena, que lo tengo en el fantasy",https://www.instagram.com/p/DBl045NPKaX/,"¡VAAAAAAMOOOOS 💪!¡Costó sangre, sudor y un sinfín de ocasiones pero el Submarino se lleva tres merecidísimos puntos en Zorrilla con goles de Barry y Ayoze!¡Triunfo de fe en Pucela!",0.0,NEUTRAL,The comment is neutral because it simply states a fact about the player assisting another player and mentions that the commenter has Baena in their fantasy team. There are no expressions of strong positive or negative feelings towards the player.,"Tell them about the assist to Alex Baena, as I have him in my fantasy team."
villareal,Álex Baena,@alexbbaena no te vayas porfavor😮‍💨😩,https://www.instagram.com/p/DBlyjWyIvmO/,"Con permiso, lo de siempre ☕️",0.5,POSITIVE,"The comment expresses a plea for the player not to leave, which indicates a desire for him to stay and a positive sentiment towards him. The use of emojis also signifies emotional attachment.",@alexbbaena please don't leave 😮‍💨😩
villareal,Álex Baena,@alexbbaena le metiste cigarrillo 🚬,https://www.instagram.com/p/DBlyjWyIvmO/,"Con permiso, lo de siempre ☕️",0.0,NEUTRAL,"The comment translates to '@alexbbaena you put the cigarette,' which lacks a clear positive or negative sentiment towards Álex Baena. It seems to be a casual remark that does not convey strong feelings about the player.",@alexbbaena you put the cigarette
villareal,Álex Baena,Baena 🪄🎩,https://www.instagram.com/p/DBlyjWyIvmO/,"Con permiso, lo de siempre ☕️",1.0,POSITIVE,"The comment uses emojis that suggest magic and skill, which is a positive indication of admiration towards Álex Baena.",Baena 🪄🎩
villareal,Álex Baena,Contarle la asistencia a Baena,https://www.instagram.com/reel/DBlxeoJIV7h/,"Lo canta nuestra gente, lo creen nuestros jugadores: HASTA EL FINAL, VILLARREAL 💛#RealValladolidVillarreal",0.0,NEUTRAL,The comment mentions assists related to Baena but does not express a positive or negative sentiment towards him specifically. It is more of a statement about the action rather than an opinion about the player.,Tell the assist to Baena.
villareal,Álex Baena,La asistencia de Baena no me contó en el fantasy por que ?,https://www.instagram.com/reel/DBlxeoJIV7h/,"Lo canta nuestra gente, lo creen nuestros jugadores: HASTA EL FINAL, VILLARREAL 💛#RealValladolidVillarreal",0.0,NEUTRAL,The comment expresses a concern about a fantasy game score related to Baena's assist but does not convey a clear positive or negative sentiment towards the player himself. It is merely an inquiry about the game mechanics.,"Baena's assist didn't count for me in the fantasy, why?"
villareal,Álex Baena,Y la asistencia de baena que?,https://www.instagram.com/reel/DBlxeoJIV7h/,"Lo canta nuestra gente, lo creen nuestros jugadores: HASTA EL FINAL, VILLARREAL 💛#RealValladolidVillarreal",-1.0,NEGATIVE,"The comment implies criticism or disappointment regarding Álex Baena's contribution, specifically questioning his assist, which indicates a negative sentiment towards the player.",And what about Baena's assist?
villareal,Álex Baena,La asistencia de Baena? 😡,https://www.instagram.com/reel/DBlxeoJIV7h/,"Lo canta nuestra gente, lo creen nuestros jugadores: HASTA EL FINAL, VILLARREAL 💛#RealValladolidVillarreal",-1.0,NEGATIVE,"The use of the angry emoji (😡) indicates a negative sentiment towards Álex Baena, suggesting dissatisfaction or frustration with his performance, specifically referencing his assist.",Baena's assist?
villareal,Álex Baena,Porque no cuenta la asistencia de baena?,https://www.instagram.com/reel/DBlxeoJIV7h/,"Lo canta nuestra gente, lo creen nuestros jugadores: HASTA EL FINAL, VILLARREAL 💛#RealValladolidVillarreal",0.0,NEUTRAL,"The comment inquires about why Baena's assist is not counted. It does not express a positive or negative sentiment towards Baena himself, rather it shows a curiosity or concern regarding the statistics related to him.",Why is Baena's assist not counted?
villareal,Álex Baena,Lo de Baena cada día es un espectáculo 💛💛,https://www.instagram.com/p/DBlwnKjor1W/,SAY CHEESE 🤳!!!,1.0,POSITIVE,"The comment expresses admiration and appreciation for Álex Baena, describing his performances as a 'spectacle', which conveys a very positive sentiment. The use of heart emojis further emphasizes the positive feeling towards the player.",What Baena does every day is a spectacle.
villareal,Álex Baena,Vendan al tronco de Baena mientras aún tenga valor,https://www.instagram.com/p/DBlpGASoEZl/,🏹,-1.0,NEGATIVE,"The comment expresses a negative sentiment towards Álex Baena, suggesting that he should be sold while he still holds some value, which implies that the commenter does not view him positively as a player.",Sell the trunk of Baena while he still has value.
villareal,Álex Baena,Que jugador tan malo e intrascendente es Baena 🤮,https://www.instagram.com/p/DBlpGASoEZl/,🏹,-1.0,NEGATIVE,"The comment explicitly states that Baena is a 'bad and insignificant player,' which conveys a strong negative sentiment. The use of the vomiting emoji further emphasizes the disdain towards the player.",What a bad and insignificant player Baena is 🤮
villareal,Álex Baena,"Cuando se juegan partidos como este, es más fácil culpar al rival o al árbitro. Pero los jugadores deben tener autocrítica y ver su juego. Hoy algunos estuvieron perdidos y apagados como Parejo, Baena y Barry. Dos puntos perdidos por no tener contundencia y hasta cuando aguantaremos a que explote Illias?",https://www.instagram.com/p/DBWxv_GqlGB/,Final en el Estadio de la Cerámica.,-0.5,NEGATIVE,"The comment criticizes Baena, along with other players, suggesting they were 'lost and turned off' during the match. This clearly indicates a negative sentiment towards their performance. The reference to Baena is direct, and the overall tone of the comment is negative as it reflects disappointment with the player's contribution.","When matches like this are played, it is easier to blame the opponent or the referee. But players must be self-critical and see their game. Today some were lost and turned off like Parejo, Baena, and Barry. Two points lost for not being decisive and how long will we endure waiting for Illias to explode?"
